LA_REG_Overrepresentation,LA_REG_SEND_pct_students,LA_REG_SEND_susp_rate,LA_REG_Total_susp_rate,Overrepresentation,REG_Overrepresentation,REG_SEND_pct_students,REG_SEND_susp_rate,REG_Total_susp_rate,Regions,Row Labels,SEND one_plus_susp,SEND perm_excl,SEND suspensions,SEND_pct_students,SEND_susp_rate,Sum of SEN_EHC,Sum of SEN_Support,Total Headcount,Total One Plus Suspensions,Total Permanent Exclusion,Total Suspension,Total_SEND Headcount,Total_susp_rate,la_name,region_code,region_name
,,,,3.42,,,,,,E09000029,446,43,1149,0.132,0.212,1612,3810,41045,1272,80,2543,5422,0.062,Sutton,E13000002,Outer London
,,,,2.126,,,,,,E09000030,283,3,486,0.185,0.058,2753,5693,45710,795,3,1237,8446,0.027,Tower Hamlets,E13000001,Inner London
,,,,2.589,,,,,,E09000031,424,23,907,0.169,0.127,2257,4876,42246,1191,40,2075,7133,0.049,Waltham Forest,E13000002,Outer London
,,,,2.246,,,,,,E09000032,297,5,531,0.197,0.081,2185,4338,33028,700,19,1197,6523,0.036,Wandsworth,E13000001,Inner London
,,,,2.274,,,,,,E09000033,281,6,521,0.164,0.149,945,2543,21325,856,7,1401,3488,0.066,Westminster,E13000001,Inner London
,,,,3.17,,,,,,E06000060,938,16,2407,0.153,0.176,4060,9635,89262,2322,33,4949,13695,0.055,Buckinghamshire,E12000008,South East
,,,,3.051,,,,,,E10000003,1353,15,3711,0.169,0.242,4841,10504,90876,2913,22,7203,15345,0.079,Cambridgeshire,E12000006,East of England
,,,,2.424,,,,,,E06000064,758,33,1896,0.167,0.161,3066,8675,70392,2181,83,4690,11741,0.067,Westmoreland & Furness,E12000002,North West
,,,,2.424,,,,,,E06000063,758,33,1896,0.167,0.161,3066,8675,70392,2181,83,4690,11741,0.067,Cumberland,E12000002,North West
,,,,2.667,,,,,,E10000007,1757,109,5872,0.178,0.303,3345,16022,108568,4083,187,12344,19367,0.114,Derbyshire,E12000004,East Midlands
,,,,2.835,,,,,,E10000008,2199,118,8915,0.195,0.453,5081,14593,101017,4464,170,16147,19674,0.16,Devon,E12000009,South West
,,,,2.481,,,,,,E10000011,1295,50,4296,0.174,0.362,2669,9207,68302,3240,81,9960,11876,0.146,East Sussex,E12000008,South East
,,,,2.711,,,,,,E10000012,3094,70,8619,0.154,0.252,8634,25562,221352,8528,162,20582,34196,0.093,Essex,E12000006,East of England
,,,,2.793,,,,,,E10000013,1410,63,3902,0.177,0.239,3855,12462,91992,3161,98,7875,16317,0.086,Gloucestershire,E12000009,South West
,,,,2.95,,,,,,E10000014,2959,75,8462,0.171,0.269,9268,22177,183797,6589,124,16768,31445,0.091,Hampshire,E12000008,South East
,,,,3.005,,,,,,E10000015,2520,89,6034,0.161,0.186,7157,25216,200477,5966,165,12436,32373,0.062,Hertfordshire,E12000006,East of England
,,,,2.912,,,,,,E10000016,3146,24,7948,0.161,0.198,12243,27952,250291,7854,42,16993,40195,0.068,Kent,E12000008,South East
,,,,2.435,,,,,,E10000017,2193,177,6156,0.153,0.228,6874,20115,176271,6922,440,16515,26989,0.094,Lancashire,E12000002,North West
,,,,2.619,,,,,,E10000018,1252,29,3624,0.164,0.219,4133,12392,100840,3186,67,8444,16525,0.084,Leicestershire,E12000004,East Midlands
,,,,2.428,,,,,,E10000019,1959,85,5973,0.184,0.298,5123,14923,108718,4749,165,13343,20046,0.123,Lincolnshire,E12000004,East Midlands
,,,,2.596,,,,,,E10000020,2242,136,6990,0.18,0.328,4899,16424,118646,5189,222,14980,21323,0.126,Norfolk,E12000006,East of England
,,,,2.858,,,,,,E06000065,1140,42,3779,0.162,0.282,3200,10192,82875,2803,75,8184,13392,0.099,North Yorkshire,E12000003,Yorkshire and The Humber
,,,,2.973,,,,,,E10000024,1558,62,4955,0.121,0.322,2316,13092,127678,4815,126,13813,15408,0.108,Nottinghamshire,E12000004,East Midlands
,,,,3.092,,,,,,E10000025,1740,17,5330,0.188,0.283,3940,14919,100196,3374,23,9158,18859,0.091,Oxfordshire,E12000008,South East
,,,,2.938,,,,,,E06000066,1588,66,5297,0.165,0.444,2955,8972,72471,3544,95,10955,11927,0.151,Somerset,E12000009,South West
,,,,2.429,,,,,,E10000028,1612,110,4413,0.156,0.226,4894,14594,124794,4650,230,11636,19488,0.093,Staffordshire,E12000005,West Midlands
,,,,2.747,,,,,,E10000029,1663,90,5135,0.168,0.293,4137,13413,104327,3898,169,11113,17550,0.107,Suffolk,E12000006,East of England
,,,,3.167,,,,,,E10000030,2460,94,6762,0.176,0.235,8319,20428,163112,5031,142,12115,28747,0.074,Surrey,E12000008,South East
,,,,2.784,,,,,,E10000031,1373,60,3774,0.169,0.252,3475,11511,88597,3121,131,8013,14986,0.09,Warwickshire,E12000005,West Midlands
,,,,2.755,,,,,,E10000032,1643,55,4293,0.186,0.196,4823,17132,118083,3665,88,8382,21955,0.071,West Sussex,E12000008,South East
,,,,2.603,,,,,,E10000034,1071,52,2496,0.18,0.168,3292,11560,82426,2601,121,5322,14852,0.065,Worcestershire,E12000005,West Midlands
