new_la_code,la_name,region_code,region_name,headcount,TTperm_excl,TTperm_excl_rate,TTsuspension,TTsusp_rate,TTone_plus_susp,TTone_plus_susp_rate,perm_excl,perm_excl_rate,suspension,susp_rate,one_plus_susp,one_plus_susp_rate,SEN provision - SEN with an EHC plan,SEN provision - SEN without an EHC plan/SEN support,SEN provision - No SEN
E09000002,Barking and Dagenham,E13000002,Outer London,45399.0,18.0,0.03965,1214.0,2.67407,786.0,1.73132,2,0.123076923,136,8.369230769,72,4.430769231,1625.0,,
E09000002,Barking and Dagenham,E13000002,Outer London,45399.0,18.0,0.03965,1214.0,2.67407,786.0,1.73132,4,0.073112776,367,6.70809724,189,3.454578688,,5471.0,
E09000002,Barking and Dagenham,E13000002,Outer London,45399.0,18.0,0.03965,1214.0,2.67407,786.0,1.73132,12,0.031329139,711,1.856251469,525,1.370649819,,,38303.0
E09000003,Barnet,E13000002,Outer London,62026.0,19.0,0.03063,3083.0,4.9705,1880.0,3.03099,1,0.03805175,299,11.37747336,132,5.02283105,2628.0,,
E09000003,Barnet,E13000002,Outer London,62026.0,19.0,0.03063,3083.0,4.9705,1880.0,3.03099,9,0.016975367,1990,3.753442227,1367,2.57836961,,,53018.0
E09000003,Barnet,E13000002,Outer London,62026.0,19.0,0.03063,3083.0,4.9705,1880.0,3.03099,9,0.141065831,794,12.44514107,381,5.971786834,,6380.0,
E09000004,Bexley,E13000002,Outer London,43641.0,49.0,0.11228,3353.0,7.68314,1505.0,3.44859,4,0.220994475,240,13.25966851,127,7.016574586,1810.0,,
E09000004,Bexley,E13000002,Outer London,43641.0,49.0,0.11228,3353.0,7.68314,1505.0,3.44859,11,0.236000858,1023,21.94807981,400,8.581849389,,4661.0,
E09000004,Bexley,E13000002,Outer London,43641.0,49.0,0.11228,3353.0,7.68314,1505.0,3.44859,34,0.091471617,2090,5.622814097,978,2.631154157,,,37170.0
E09000005,Brent,E13000002,Outer London,48149.0,28.0,0.05815,2287.0,4.74984,1395.0,2.89726,1,0.049382716,220,10.86419753,95,4.691358025,2025.0,,
E09000005,Brent,E13000002,Outer London,48149.0,28.0,0.05815,2287.0,4.74984,1395.0,2.89726,7,0.136532085,630,12.28788765,335,6.534035498,,5127.0,
E09000005,Brent,E13000002,Outer London,48149.0,28.0,0.05815,2287.0,4.74984,1395.0,2.89726,20,0.048784057,1437,3.505134522,965,2.353830768,,,40997.0
E09000006,Bromley,E13000002,Outer London,53174.0,48.0,0.09027,2539.0,4.77489,1272.0,2.39215,2,0.083892617,304,12.75167785,156,6.543624161,2384.0,,
E09000006,Bromley,E13000002,Outer London,53174.0,48.0,0.09027,2539.0,4.77489,1272.0,2.39215,16,0.244573525,801,12.24396209,367,5.609905228,,6542.0,
E09000006,Bromley,E13000002,Outer London,53174.0,48.0,0.09027,2539.0,4.77489,1272.0,2.39215,30,0.067799675,1434,3.240824444,749,1.692731875,,,44248.0
E09000008,Croydon,E13000002,Outer London,57794.0,24.0,0.04153,3649.0,6.3138,2150.0,3.72011,0,0.0,315,12.49008723,152,6.026962728,2522.0,,
E09000008,Croydon,E13000002,Outer London,57794.0,24.0,0.04153,3649.0,6.3138,2150.0,3.72011,11,0.023203324,2033,4.288396228,1363,2.875102833,,,47407.0
E09000008,Croydon,E13000002,Outer London,57794.0,24.0,0.04153,3649.0,6.3138,2150.0,3.72011,13,0.165289256,1301,16.54164018,635,8.073744437,,7865.0,
E09000009,Ealing,E13000002,Outer London,54463.0,53.0,0.09731,2316.0,4.25243,1415.0,2.59809,0,0.0,267,10.62898089,127,5.055732484,2512.0,,
E09000009,Ealing,E13000002,Outer London,54463.0,53.0,0.09731,2316.0,4.25243,1415.0,2.59809,24,0.42462845,596,10.54493984,306,5.414012739,,5652.0,
E09000009,Ealing,E13000002,Outer London,54463.0,53.0,0.09731,2316.0,4.25243,1415.0,2.59809,29,0.062636342,1453,3.138296723,982,2.120996134,,,46299.0
E09000010,Enfield,E13000002,Outer London,56227.0,8.0,0.01423,3320.0,5.90464,1893.0,3.36671,1,0.016168149,741,11.98059822,341,5.513338723,,6185.0,
E09000010,Enfield,E13000002,Outer London,56227.0,8.0,0.01423,3320.0,5.90464,1893.0,3.36671,1,0.033456005,522,17.46403479,223,7.460689194,2989.0,,
E09000010,Enfield,E13000002,Outer London,56227.0,8.0,0.01423,3320.0,5.90464,1893.0,3.36671,6,0.012751578,2057,4.371665994,1329,2.824474529,,,47053.0
E09000011,Greenwich,E13000002,Outer London,44409.0,9.0,0.02027,2664.0,5.99878,1524.0,3.43174,0,0.0,222,12.83979179,122,7.056101793,1729.0,,
E09000011,Greenwich,E13000002,Outer London,44409.0,9.0,0.02027,2664.0,5.99878,1524.0,3.43174,2,0.029642804,970,14.37676004,465,6.891951979,,6747.0,
E09000011,Greenwich,E13000002,Outer London,44409.0,9.0,0.02027,2664.0,5.99878,1524.0,3.43174,7,0.0194807,1472,4.096512955,937,2.607630869,,,35933.0
E09000015,Harrow,E13000002,Outer London,39158.0,26.0,0.0664,1338.0,3.41693,817.0,2.08642,4,0.269723533,165,11.12609575,83,5.596763318,1483.0,,
E09000015,Harrow,E13000002,Outer London,39158.0,26.0,0.0664,1338.0,3.41693,817.0,2.08642,11,0.032498227,825,2.437367053,550,1.624911368,,,33848.0
E09000015,Harrow,E13000002,Outer London,39158.0,26.0,0.0664,1338.0,3.41693,817.0,2.08642,11,0.287431408,348,9.093284557,184,4.807943559,,3827.0,
