new_la_code,la_name,school_type,num_schools,headcount,perm_excl,perm_excl_rate,suspension,susp_rate,one_plus_susp,one_plus_susp_rate,SEN provision - SEN with an EHC plan,SEN provision - SEN without an EHC plan/SEN support,SEN provision - No SEN
E06000034,Thurrock,state-funded secondary,13,12314,18,0.14618,1930,15.67322,909,7.38184,,,43
E06000034,Thurrock,state-funded secondary,13,12314,18,0.14618,1930,15.67322,909,7.38184,197,,
E06000034,Thurrock,state-funded secondary,13,12314,18,0.14618,1930,15.67322,909,7.38184,,497,
E06000034,Thurrock,state-funded secondary,13,12314,18,0.14618,1930,15.67322,909,7.38184,,,1236
E06000034,Thurrock,state-funded secondary,13,12314,18,0.14618,1930,15.67322,909,7.38184,,0,
E06000034,Thurrock,state-funded secondary,13,12314,18,0.14618,1930,15.67322,909,7.38184,33,,
E06000034,Thurrock,state-funded secondary,13,12314,18,0.14618,1930,15.67322,909,7.38184,284,,
E06000034,Thurrock,state-funded secondary,13,12314,18,0.14618,1930,15.67322,909,7.38184,,577,
E06000034,Thurrock,state-funded secondary,13,12314,18,0.14618,1930,15.67322,909,7.38184,,,1279
E06000034,Thurrock,state-funded primary,39,18745,0,0,177,0.94425,97,0.51747,54,,
E06000034,Thurrock,state-funded primary,39,18745,0,0,177,0.94425,97,0.51747,,80,
E06000034,Thurrock,state-funded primary,39,18745,0,0,177,0.94425,97,0.51747,,,43
E06000034,Thurrock,state-funded primary,39,18745,0,0,177,0.94425,97,0.51747,197,,
E06000034,Thurrock,state-funded primary,39,18745,0,0,177,0.94425,97,0.51747,,497,
E06000034,Thurrock,state-funded primary,39,18745,0,0,177,0.94425,97,0.51747,,,1236
